lims_backend  | DEBUG 2026-02-08 05:13:19,623 utils 16 130347963706240 (0.003) SELECT "system_settings"."id", "system_settings"."lab_name", "system_settings"."lab_display_name", "system_settings"."lab_address", "system_settings"."lab_phone", "system_settings"."lab_email", "system_settings"."lab_logo", "system_settings"."report_header", "system_settings"."report_footer", "system_settings"."report_header_image", "system_settings"."report_footer_image", "system_settings"."currency", "system_settings"."tax_rate", "system_settings"."email_host", "system_settings"."email_port", "system_settings"."email_use_tls", "system_settings"."email_use_ssl", "system_settings"."email_host_user", "system_settings"."email_host_password", "system_settings"."email_from", "system_settings"."backup_enabled", "system_settings"."backup_frequency", "system_settings"."updated_at", "system_settings"."updated_by_id" FROM "system_settings" ORDER BY "system_settings"."id" ASC LIMIT 1; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:19,627 utils 16 130347963706240 (0.002) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."id" = 1 LIMIT 21; args=(1,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:19,746 utils 19 130347963706240 (0.005) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."email" = 'admin@example.com' LIMIT 21; args=('admin@example.com',); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:19,746 utils 18 130347963706240 (0.005) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."username" = 'admin' LIMIT 21; args=('admin',); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:19,748 utils 19 130347963706240 (0.000) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."username" = 'admin' LIMIT 21; args=('admin',); alias=default
lims_backend  | /usr/local/lib/python3.12/site-packages/jwt/api_jwt.py:153: InsecureKeyLengthWarning: The HMAC key is 24 bytes long, which is below the minimum recommended length of 32 bytes for SHA256. See RFC 7518 Section 3.2.
lims_backend  |   return self._jws.encode(
lims_backend  | /usr/local/lib/python3.12/site-packages/jwt/api_jwt.py:153: InsecureKeyLengthWarning: The HMAC key is 24 bytes long, which is below the minimum recommended length of 32 bytes for SHA256. See RFC 7518 Section 3.2.
lims_backend  |   return self._jws.encode(
lims_backend  | DEBUG 2026-02-08 05:13:20,335 utils 19 130347963706240 (0.003) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."id" = 1 LIMIT 21; args=(1,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,341 utils 19 130347963706240 (0.004) SELECT COUNT(*) AS "__count" FROM "orders_order" WHERE ("orders_order"."created_at" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,344 utils 19 130347963706240 (0.002) SELECT COUNT(*) AS "__count" FROM "samples" WHERE ("samples"."collected_at" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,346 utils 19 130347963706240 (0.001) SELECT COUNT(*) AS "__count" FROM "results_testresult" WHERE ("results_testresult"."entered_at" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,350 utils 19 130347963706240 (0.003) SELECT COUNT(*) AS "__count" FROM "reports_report" WHERE ("reports_report"."generated_at" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,352 utils 19 130347963706240 (0.001) SELECT SUM("billing_payment"."amount") AS "total" FROM "billing_payment" WHERE ("billing_payment"."payment_date" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,356 utils 19 130347963706240 (0.003) SELECT COUNT(*) AS "__count" FROM "samples" WHERE "samples"."status" = 'PENDING'; args=(SampleStatus.PENDING,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,357 utils 19 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "results_testresult" WHERE "results_testresult"."status" = 'pending'; args=('pending',); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,358 utils 19 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "results_testresult" WHERE "results_testresult"."status" = 'pending'; args=('pending',); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,360 utils 19 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "orders_order" WHERE "orders_order"."created_at" >= '2026-02-01T00:13:20.359219+00:00'::timestamptz; args=(datetime.datetime(2026, 2, 1, 0, 13, 20, 359219, tzinfo=datetime.timezone.utc),); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,361 utils 19 130347963706240 (0.000) SELECT SUM("billing_payment"."amount") AS "total" FROM "billing_payment" WHERE "billing_payment"."payment_date" >= '2026-02-01T00:13:20.359219+00:00'::timestamptz; args=(datetime.datetime(2026, 2, 1, 0, 13, 20, 359219, tzinfo=datetime.timezone.utc),); alias=default
