lims_redis  | 1:C 29 Jan 2026 08:37:20.852 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
lims_redis  | 1:C 29 Jan 2026 08:37:20.852 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
lims_redis  | 1:C 29 Jan 2026 08:37:20.852 * Redis version=7.4.7, bits=64, commit=00000000, modified=0, pid=1, just started
lims_redis  | 1:C 29 Jan 2026 08:37:20.852 * Configuration loaded
lims_redis  | 1:M 29 Jan 2026 08:37:20.853 * Increased maximum number of open files to 10032 (it was originally set to 1024).
lims_redis  | 1:M 29 Jan 2026 08:37:20.853 * monotonic clock: POSIX clock_gettime
lims_redis  | 1:M 29 Jan 2026 08:37:20.854 * Running mode=standalone, port=6379.
lims_redis  | 1:M 29 Jan 2026 08:37:20.855 * Server initialized
lims_redis  | 1:M 29 Jan 2026 08:37:20.857 * Creating AOF base file appendonly.aof.1.base.rdb on server start
lims_redis  | 1:M 29 Jan 2026 08:37:20.859 * Creating AOF incr file appendonly.aof.1.incr.aof on server start
lims_redis  | 1:M 29 Jan 2026 08:37:20.859 * Ready to accept connections tcp
lims_frontend  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
lims_frontend  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
lims_frontend  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
lims_frontend  | 10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
lims_frontend  | 10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
lims_frontend  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
lims_frontend  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
lims_frontend  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
lims_frontend  | /docker-entrypoint.sh: Configuration complete; ready for start up
